name,platform,year_of_release,genre,publisher,na_sales_cleaned,eu_sales_cleaned,jp_sales_cleaned,other_sales_cleaned,global_sales_cleaned,critic_score,critic_count,user_score,user_count,developer,rating
Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,450000,660000,20000,150000,1280000,67,21,7.3,26,EA Canada,E10+
Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,620000,490000,0,160000,1280000,89,34,8.9,557,KCET,M
Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,580000,400000,210000,80000,1270000,93,12,9.4,358,Konami,T
Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1030000,140000,0,100000,1270000,73,16,7.2,19,Vicarious Visions,T
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,690000,470000,0,110000,1270000,69,8,7.2,26,TT Games,E10+
The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1220000,50000,0,0,1270000,76,31,6.6,71,Maxis,T
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,400000,330000,400000,150000,1270000,91,69,8.1,1107,From Software,T
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,480000,350000,360000,70000,1270000,83,75,8.7,487,"Opus, Project Sora",E10+
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,440000,290000,470000,70000,1270000,59,46,6.3,134,"Nintendo, Spike Chunsoft",E
LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,720000,30000,0,520000,1270000,77,8,8.9,17,Traveller's Tales,E10+
Road Rash,PS,1995,Racing,Electronic Arts,710000,480000,0,80000,1270000,,,,,,
Atlantis,2600,1981,Shooter,Imagic,1180000,80000,0,10000,1270000,,,,,,
NBA 2K9,X360,2008,Sports,Take-Two Interactive,1000000,160000,0,110000,1270000,84,32,7.2,44,Visual Concepts,E
Tony Hawk's Underground,XB,2003,Sports,Activision,850000,370000,0,50000,1270000,85,33,9.1,26,Neversoft Entertainment,T
Hogan's Alley,NES,1984,Shooter,Nintendo,680000,160000,410000,20000,1270000,,,,,,
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,450000,470000,170000,180000,1270000,75,70,6.2,1311,Kojima Productions,M
Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo,750000,390000,0,120000,1270000,65,28,tbd,,Griptonite Games,E
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,490000,380000,260000,130000,1270000,75,35,8.5,60,CyberConnect2,T
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,960000,200000,0,110000,1270000,30,4,2,23,3G Studios,E
Valkyria Chronicles,PS3,2008,Role-Playing,Sega,710000,190000,240000,130000,1270000,86,60,8.6,433,Sega,T
WWE '12,X360,2011,Fighting,THQ,740000,400000,0,120000,1270000,71,52,6.3,89,Yuke's,T
Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,870000,300000,60000,30000,1270000,57,27,7.9,139,Sonic Team,E
Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,620000,480000,0,160000,1270000,,,,,,
Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,390000,260000,530000,80000,1270000,69,4,6.3,4,Tamsoft,T
WWE '13,X360,2012,Action,THQ,720000,440000,0,110000,1270000,78,46,8,110,"THQ, Yuke's",T
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,430000,360000,320000,160000,1270000,85,50,8.5,332,Virtuos,T
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,330000,690000,50000,190000,1270000,80,6,4.9,123,Ghost Games,E10+
EA Sports Active 2,Wii,2010,Sports,Electronic Arts,760000,390000,0,110000,1260000,79,8,8.1,22,EA Canada,E
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,390000,720000,0,150000,1260000,68,36,5.8,21,Rockstar San Diego,E
Devil Dice,PS,1998,Puzzle,THQ,50000,30000,1100000,80000,1260000,,,,,,
Football Manager 2011,PC,2010,Sports,Sega,0,1010000,0,250000,1260000,85,23,8.4,77,Sports Interactive,E
Brian Lara Cricket,PS,1998,Sports,Codemasters,20000,1130000,10000,100000,1260000,,,,,,
Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0,1150000,0,110000,1260000,,,,,,
Wheel of Fortune,PS,1998,Misc,Hasbro Interactive,990000,220000,0,40000,1260000,,,,,,
Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,100000,20000,1120000,10000,1260000,59,20,7.7,6,NanaOn-Sha,E
Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,450000,550000,50000,220000,1260000,75,42,7.2,166,Nixxes Software,T
Kung Fu Panda,DS,2008,Action,Activision,560000,560000,0,140000,1250000,,,,,,
LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,770000,370000,0,110000,1250000,65,29,8.9,51,Hellbent Games,E
NBA Live 2001,PS,2000,Sports,Electronic Arts,700000,470000,0,80000,1250000,86,10,8,6,EA Sports,E
Saints Row IV,PS3,2013,Action,Deep Silver,560000,410000,90000,190000,1250000,76,26,6.3,278,Volition Inc.,M
Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,490000,0,10000,750000,1250000,68,7,7.4,33,Krome Studios,T
Watch Dogs,X360,2014,Action,Ubisoft,720000,410000,10000,110000,1250000,,,5,332,Ubisoft Montreal,M
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,940000,160000,20000,130000,1250000,63,64,6.9,223,Slant Six,M
Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0,0,1250000,0,1250000,,,,,,
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0,0,1250000,0,1250000,,,,,,
Reel Fishing,PS,1996,Sports,Natsume,990000,130000,100000,40000,1250000,,,,,,
Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,1000000,130000,20000,100000,1250000,83,54,8.5,134,EA Canada,T
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,710000,190000,310000,30000,1250000,64,27,8.3,74,Genius Sonority Inc.,E
Black,PS2,2006,Shooter,Electronic Arts,1010000,40000,30000,160000,1250000,79,62,8.4,194,Criterion Games,M
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,470000,530000,30000,220000,1250000,86,32,7.6,81,Ubisoft Montreal,M
LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,350000,610000,20000,270000,1250000,88,71,8.6,348,"Tarsier Studios, Double Eleven",E
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,480000,350000,340000,80000,1250000,69,44,8.8,190,"Spike Chunsoft Co. Ltd., Spike Chunsoft",E
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1190000,50000,0,0,1250000,74,22,8.5,135,Chris Sawyer,E
Ratatouille,DS,2007,Action,THQ,490000,620000,0,140000,1250000,,,,,,
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,610000,480000,0,160000,1250000,52,37,6.2,106,Core Design Ltd.,T
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,520000,560000,0,170000,1250000,87,45,8.6,34,Ubisoft Shanghai,T
Road Rash 3D,PS,1998,Racing,Electronic Arts,1050000,160000,0,40000,1250000,,,,,,
Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,850000,30000,220000,140000,1240000,81,51,8.9,155,Insomniac Games,T
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,450000,670000,0,120000,1240000,52,15,6.8,4,49Games,E
Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,610000,480000,0,160000,1240000,87,29,8.3,90,Snowblind Studios,T
Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,750000,440000,0,60000,1240000,85,10,9,96,Oddworld Inhabitants,T
Ridge Racer V,PS2,2000,Action,Namco Bandai Games,240000,190000,750000,60000,1240000,78,20,7.7,6,Namco,E
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,690000,0,0,550000,1240000,78,9,6.9,34,Yuke's,T
Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,560000,220000,430000,30000,1240000,,,,,,
Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,820000,380000,0,40000,1240000,61,44,8.1,54,Double Helix Games,T
[Prototype],PS3,2009,Action,Activision,650000,400000,0,190000,1240000,79,53,7.7,308,Radical Entertainment,M
Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1120000,20000,0,90000,1240000,,,,,,
FIFA Street,PS3,2012,Sports,Electronic Arts,120000,890000,0,230000,1230000,76,36,6.4,66,EA Sports,E
Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,600000,470000,0,160000,1230000,32,6,4.6,29,Konami,E
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1080000,20000,0,130000,1230000,83,30,5.9,39,EA Sports,E
Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,920000,200000,70000,40000,1230000,91,89,8.8,152,Team Ninja,M
Cars 2,DS,2011,Racing,Disney Interactive Studios,680000,400000,40000,110000,1230000,,,,,,
Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,590000,570000,0,70000,1230000,70,16,8.1,19,Traveller's Tales,E
Driv3r,PS2,2004,Racing,Atari,600000,470000,0,160000,1230000,57,51,5.5,102,Reflections Interactive,M
Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,430000,470000,50000,280000,1230000,63,38,7.2,69,Griptonite Games,M
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,690000,470000,0,80000,1230000,,,,,,
Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,520000,350000,180000,180000,1230000,,,,,,
LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,640000,490000,0,110000,1230000,80,49,8.5,73,TT Games,E10+
Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo,290000,170000,750000,20000,1230000,,,,,,
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,880000,330000,0,20000,1230000,,,7.3,6,Vicarious Visions,E
Vigilante 8,PS,1998,Racing,Activision,680000,470000,0,80000,1230000,,,,,,
Hyrule Warriors,WiiU,2014,Action,Nintendo,580000,420000,130000,100000,1230000,76,81,8.3,662,Omega Force,T
Castlevania,NES,1986,Platform,Konami Digital Entertainment,540000,60000,620000,10000,1230000,,,,,,
Donkey Kong Country 2,GBA,2004,Platform,Nintendo,790000,270000,120000,40000,1230000,80,22,9.1,37,Rare Ltd.,E
Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1000000,130000,0,100000,1230000,70,59,6.7,48,Neversoft Entertainment,T
"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,Nintendo,400000,110000,700000,20000,1230000,,,,,,
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,490000,500000,30000,200000,1230000,75,31,7.3,42,EA Canada,E10+
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,540000,550000,0,130000,1230000,63,6,7.7,9,High Voltage Software,E10+
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,300000,640000,70000,220000,1230000,82,56,7.8,57,EA Canada,E
Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,290000,180000,670000,90000,1220000,78,65,8.2,468,Bandai Namco Games,T
Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1090000,30000,0,90000,1220000,63,39,7.5,27,Rare Ltd.,E
Mario Power Tennis,GC,2004,Sports,Nintendo,580000,160000,460000,30000,1220000,80,43,8.5,48,Camelot Software Planning,E
Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment,130000,70000,1000000,20000,1220000,,,,,,
Pac-Man,NES,1984,Puzzle,Namco Bandai Games,270000,80000,850000,20000,1220000,,,,,,
Game & Watch Gallery 2,GB,1997,Misc,Nintendo,760000,300000,120000,40000,1220000,,,,,,
Game & Watch Gallery 3,GB,1999,Misc,Nintendo,790000,310000,80000,40000,1220000,,,,,,
Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist,590000,460000,10000,150000,1220000,,,,,,
NBA Live 99,PS,1997,Sports,Electronic Arts,1130000,50000,0,30000,1220000,,,,,,
Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,SquareSoft,0,0,1140000,80000,1220000,,,,,,
Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,610000,270000,270000,70000,1220000,86,29,9.5,150,Camelot Software Planning,E
SimCity 2000,PS,1996,Simulation,Maxis,680000,460000,0,80000,1220000,,,,,,
Max Payne,XB,2001,Shooter,Take-Two Interactive,980000,190000,0,50000,1220000,89,24,8.3,61,neo Software,M
WCW Mayhem,PS,1998,Fighting,Electronic Arts,680000,460000,0,80000,1220000,,,,,,
NBA 2K2,PS2,2002,Sports,Sega,590000,460000,10000,150000,1220000,89,19,7.8,16,Visual Concepts,E
Cars,PS2,2006,Racing,THQ,1010000,40000,0,160000,1210000,71,30,8.4,12,Rainbow Studios,E
Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios,930000,240000,0,40000,1210000,70,28,6.9,16,Blitz Games,E
Call of Duty: Finest Hour,XB,2004,Shooter,Activision,780000,400000,0,40000,1210000,73,55,7.8,22,Spark Unlimited,T
Final Fantasy IV,DS,2007,Simulation,Square Enix,510000,40000,620000,50000,1210000,85,52,7.7,164,Matrix Software,E10+
Star Wars: Battlefront II,PSP,2005,Shooter,LucasArts,1050000,50000,10000,100000,1210000,69,22,8.5,111,Savage Entertainment,T
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,550000,440000,140000,90000,1210000,85,69,8.1,206,Capcom,T
Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1030000,140000,0,40000,1210000,86,41,8.6,184,Sucker Punch,E
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,410000,600000,0,200000,1210000,73,47,7.4,237,Yuke's,T
Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts,660000,480000,10000,60000,1210000,,,,,,
Dino Crisis 2,PS,2000,Action,Virgin Interactive,340000,490000,280000,100000,1210000,86,13,9,91,Capcom,M
The Magical Quest starring Mickey Mouse,SNES,1992,Platform,Capcom,660000,170000,350000,30000,1210000,,,,,,
Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0,0,1200000,10000,1210000,,,,,,
Need for Speed Underground,GC,2003,Racing,Electronic Arts,690000,480000,10000,30000,1210000,83,24,9,45,Electronic Arts,E
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,420000,460000,150000,180000,1210000,76,34,8.3,130,CyberConnect2,T
Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,250000,690000,30000,250000,1210000,75,16,7.6,39,Electronic Arts,T
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,720000,370000,10000,110000,1210000,71,27,5.1,299,Visceral Games,M
Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007,Misc,Unknown,870000,320000,0,20000,1210000,,,,,,
Bayonetta,PS3,2009,Action,Sega,440000,390000,210000,160000,1210000,87,54,7.7,355,Nex Entertainment,M
Test Drive 4,PS,1997,Racing,Electronic Arts,670000,460000,0,80000,1210000,,,,,,
Boom Blox,Wii,2008,Puzzle,Electronic Arts,710000,380000,0,120000,1210000,85,61,8.6,105,EA LA,E
World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,Sports,Konami Digital Entertainment,10000,880000,310000,0,1200000,,,,,,
The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,590000,460000,0,150000,1200000,59,19,5.1,20,Surreal Software,T
The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,440000,630000,0,140000,1200000,73,19,8.2,10,Maxis,T
FIFA Soccer 07,PSP,2006,Sports,Electronic Arts,250000,640000,0,310000,1200000,,,,,,
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1000000,40000,0,160000,1200000,78,37,8.4,16,Climax Group,E
F1 2011,PS3,2011,Racing,Codemasters,120000,740000,110000,240000,1200000,82,36,7.1,55,Codemasters,E
Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,80000,1040000,0,70000,1200000,,,,,,
Pikmin 2,GC,2004,Strategy,Nintendo,480000,130000,560000,30000,1200000,90,54,9.1,137,Nintendo,E
NFL 2K,DC,1999,Sports,Sega,1120000,50000,0,20000,1200000,,,,,,
SolarStriker,GB,1989,Shooter,Nintendo,400000,390000,360000,40000,1200000,,,,,,
TwinBee,NES,1986,Shooter,Konami Digital Entertainment,0,0,1200000,0,1200000,,,,,,
Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,0,0,1200000,0,1200000,,,,,,
Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,Namco Bandai Games,0,0,1200000,0,1200000,,,,,,
Enter the Matrix,XB,2003,Action,Atari,720000,430000,10000,40000,1200000,65,33,7.1,75,Shiny Entertainment,T
Cars,PSP,2006,Racing,THQ,720000,280000,0,200000,1200000,70,17,7,4,Locomotive Games,E
NHL 2002,PS2,2001,Sports,Electronic Arts,590000,460000,0,150000,1200000,92,22,8.5,26,EA Sports,E
FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,130000,690000,10000,360000,1200000,68,6,5.4,9,EA Sports,E
Nuclear Strike,PS,1997,Simulation,Electronic Arts,660000,450000,0,80000,1190000,,,,,,
The Simpsons: Road Rage,GBA,2003,Racing,THQ,860000,320000,0,20000,1190000,55,14,6.8,9,Altron,E
LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,500000,500000,0,190000,1190000,81,28,7.5,81,Traveller's Tales,E10+
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,530000,380000,190000,90000,1190000,81,78,8.6,377,Nintendo EAD Tokyo,E
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ,920000,230000,0,40000,1190000,71,4,7.7,7,Vicarious Visions,E
Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,90000,840000,110000,150000,1190000,83,19,8.4,43,Konami,E
Destiny: The Taken King,XOne,2015,Shooter,Activision,850000,230000,0,120000,1190000,89,11,5.2,393,"Bungie Software, Bungie",T
Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,990000,40000,0,160000,1190000,75,46,8.6,113,Radical Entertainment,M
Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,680000,140000,350000,20000,1190000,,,,,,
Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo,1020000,130000,40000,10000,1190000,,,,,,
The Dukes of Hazzard: Racing for Home,PS,1999,Racing,Ubisoft,990000,160000,0,40000,1190000,,,,,,
Disney Sing It,Wii,2008,Misc,Disney Interactive Studios,770000,310000,0,110000,1190000,,,tbd,,Zoe Mode,E
WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,450000,470000,0,280000,1190000,68,11,7.8,15,Yuke's,T
Spider-Man: The Movie,GC,2002,Action,Activision,860000,270000,10000,40000,1190000,76,14,7.3,11,Treyarch,E
Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo,640000,240000,290000,20000,1190000,,,,,,
Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,730000,30000,360000,70000,1190000,76,32,7.9,17,"Nintendo, Nintendo Software Technology",E
Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,380000,350000,380000,80000,1180000,87,54,8.2,147,Kojima Productions,M
Metal Gear Solid VR Missions,PS,1999,Adventure,Konami Digital Entertainment,660000,450000,0,80000,1180000,,,,,,
LEGO Indiana Jones 2: The Adventure Continues,DS,2009,Action,Activision,650000,420000,0,110000,1180000,59,4,tbd,,TT Fusion,E
Mario & Sonic at the London 2012 Olympic Games,3DS,2012,Sports,Sega,180000,640000,270000,90000,1180000,,,,,,
Pole Position,2600,1982,Racing,Atari,1100000,70000,0,10000,1180000,,,,,,
Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,480000,500000,10000,200000,1180000,78,37,7.9,282,NetherRealm Studios,T
Mario Tennis,GB,2000,Sports,Nintendo,500000,180000,440000,60000,1180000,,,,,,
Shenmue,DC,1999,Adventure,Sega,520000,240000,380000,40000,1180000,88,9,9.4,201,Sega AM2,T
Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,100000,0,1080000,0,1180000,,,,,,
Just Dance 4,X360,2012,Misc,Ubisoft,900000,190000,0,90000,1180000,77,23,7.7,36,Ubisoft,E10+
Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision,850000,310000,0,20000,1180000,95,16,7.5,22,Vicarious Visions,E
One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games,10000,230000,860000,80000,1180000,64,33,6.5,55,"Omega Force, Tecmo Koei Games",T
Super Ghouls 'n Ghosts,SNES,1991,Platform,Capcom,500000,140000,520000,20000,1180000,,,,,,
Soviet Strike,PS,1996,Simulation,Electronic Arts,650000,440000,0,80000,1170000,,,,,,
Gun,PS2,2005,Shooter,Activision,980000,40000,0,160000,1170000,77,43,8.7,70,Neversoft Entertainment,M
Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,570000,450000,0,150000,1170000,70,14,8.8,60,Krome Studios,E
Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,480000,240000,360000,100000,1170000,52,36,4.9,222,Slant Six,M
Mega Man 3,NES,1990,Platform,Capcom,680000,100000,390000,0,1170000,,,,,,
LEGO Indiana Jones: The Original Adventures,PSP,2008,Action,LucasArts,400000,480000,0,290000,1170000,76,8,7.6,11,Traveller's Tales,E10+
PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,530000,160000,420000,60000,1170000,62,22,7.2,36,Creatures Inc.,E
WWE '12,PS3,2011,Fighting,THQ,530000,450000,20000,170000,1170000,72,28,6.9,80,Yuke's,T
Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment,360000,590000,40000,180000,1170000,,,,,,
Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0,0,1170000,0,1170000,,,,,,
Mission: Impossible,N64,1997,Action,Ocean,740000,380000,20000,30000,1170000,,,,,,
Cabela's Dangerous Hunts,PS2,2003,Sports,Zoo Digital Publishing,570000,450000,0,150000,1170000,57,4,8.4,37,Sand Grain Studios,T
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,390000,690000,0,90000,1170000,96,57,7.9,3756,Rockstar North,M
Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,590000,450000,0,140000,1170000,84,39,8.6,2754,Obsidian Entertainment,M
Cool Boarders 4,PS,1998,Sports,989 Studios,650000,440000,0,80000,1170000,,,,,,
WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ,480000,480000,10000,200000,1170000,81,38,8.1,55,Yuke's,T
Rage Racer,PS,1996,Racing,Sony Computer Entertainment,160000,110000,830000,80000,1170000,,,,,,
Medal of Honor: Rising Sun,XB,2003,Shooter,Electronic Arts,760000,360000,0,50000,1170000,65,23,5.8,28,EA LA,T
Army of Two,PS3,2008,Shooter,Electronic Arts,740000,260000,20000,150000,1170000,74,43,7.3,118,EA Montreal,M
Spore,PC,2008,Strategy,Electronic Arts,30000,1060000,0,80000,1170000,84,75,5.3,1711,Maxis,E10+
Destruction Derby 2,PS,1996,Racing,Psygnosis,650000,440000,0,80000,1170000,,,,,,
Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,680000,250000,210000,20000,1170000,81,43,8,31,Nintendo,E
LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,520000,460000,0,190000,1160000,76,36,7.3,34,Traveller's Tales,E10+
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,970000,40000,0,160000,1160000,85,19,8.9,53,Rockstar San Diego,E10+
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,570000,440000,0,150000,1160000,70,31,6.3,24,Red Storm Entertainment,T
Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,390000,270000,430000,80000,1160000,83,13,7.9,16,Light Weight,T
Mirror's Edge,X360,2008,Platform,Electronic Arts,510000,510000,10000,130000,1160000,79,82,7.6,328,EA DICE,T
Sonic the Hedgehog,PS3,2006,Platform,Sega,410000,60000,40000,660000,1160000,43,17,4.1,176,Sonic Team,E10+
NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,570000,440000,0,150000,1160000,85,17,8.5,22,EA Sports,E
Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002,Role-Playing,Konami Digital Entertainment,840000,270000,0,50000,1160000,,,,,,
Sega Rally Championship,SAT,1995,Racing,Sega,210000,160000,770000,20000,1160000,,,,,,
Jet Force Gemini,N64,1999,Shooter,Nintendo,780000,280000,70000,20000,1160000,,,,,,
Mega Man X,SNES,1993,Platform,Capcom,570000,80000,500000,10000,1160000,,,,,,
Test Drive: Off Road,PS,1997,Racing,Eidos Interactive,650000,440000,0,80000,1160000,,,,,,
Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,700000,360000,0,100000,1160000,77,13,7.6,21,Ubisoft,E
FIFA 14,XOne,2013,Sports,Electronic Arts,410000,660000,0,90000,1160000,88,22,5.8,328,EA Canada,E
Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,450000,240000,300000,160000,1160000,88,41,8,238,TOSE,T
LEGO Star Wars: The Video Game,XB,2005,Action,Eidos Interactive,830000,280000,0,50000,1160000,,,,,,
Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,540000,500000,0,120000,1160000,45,39,5.8,89,City Interactive,M
Sonic Rush Adventure,DS,2007,Platform,Sega,530000,480000,10000,120000,1150000,78,32,8.2,66,Dimps Corporation,E
Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0,1140000,0,10000,1150000,83,29,8.1,30,Sports Interactive,E
Gauntlet: Dark Legacy,PS2,2001,Action,Midway Games,560000,440000,0,150000,1150000,73,15,8.3,30,Midway,T
Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,500000,390000,20000,250000,1150000,69,20,7.3,30,EA LA,T
Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,560000,440000,0,150000,1150000,43,5,3.4,13,Blitz Games,M
Wario Land: Shake It!,Wii,2008,Platform,Nintendo,590000,310000,150000,100000,1150000,,,,,,
Football Manager 2013,PC,2012,Sports,Sega,0,950000,0,210000,1150000,86,37,6.7,228,Sports Interactive,
Kaboom!,2600,1980,Misc,Activision,1070000,70000,0,10000,1150000,,,,,,
Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,590000,450000,10000,100000,1150000,53,43,5.4,437,Danger Close,M
Qix,GB,1990,Puzzle,Nintendo,510000,200000,410000,30000,1150000,,,,,,
Derby Stallion III,SNES,1995,Sports,ASCII Entertainment,0,0,1150000,0,1150000,,,,,,
Doraemon,NES,1986,Action,Hudson Soft,0,0,1150000,0,1150000,,,,,,
High School Musical 2: Work This Out!,DS,2008,Misc,Disney Interactive Studios,500000,520000,0,130000,1150000,,,,,,
